Date,AT6,AT1,AT2,AT3,AT4,AT5,SWBC1,SWBC2,SWBC3,SWBC4,SWBC5,SWBC6,SWBC7,SWBC8,SWBC9,SWBC10,SWBC11,SWBC12,SWBC13,SWBC14,SWBC15
6/23/1990,16.18464052,-0.045518208,-0.366285404,-2.426470589,-0.687787461,0.612745097,2.868279,0.050782,3.20798,3.163896,0.100554,3.480305,2.398841,2.259137,3.339864,3.249655,0.314582,2.677415,2.231038,0.385864,2.175328
6/24/1990,17.20588235,0.459850604,0.122549019,-1.590413944,0.508351488,1.601307189,2.868279,0.050782,3.20798,3.163896,0.100554,3.480305,2.398841,2.259137,3.339864,3.249655,0.314582,2.677415,2.231038,0.385864,2.175328
6/25/1990,20.51470588,1.705182076,0.375816994,-1.456193589,0.226640039,1.116557735,2.868279,0.050782,3.20798,3.163896,0.100554,3.480314,2.398841,2.259137,3.339864,3.249655,0.314582,2.677415,2.231038,0.385864,2.175328
6/26/1990,22.42647059,1.394724556,-0.177696078,-1.144957983,-0.05295328,0.219680465,2.868279,0.050782,3.20798,3.163896,0.100554,3.480447,2.398841,2.259137,3.339864,3.249685,0.314582,2.677415,2.231038,0.385864,2.175328
6/27/1990,22.22222222,5.873015873,1.585648149,0.291005292,0.802469136,0.679012346,2.868352,0.050782,3.208026,3.164117,0.100554,3.505245,2.398841,2.259137,3.340018,3.255952,0.314582,2.677415,2.231038,0.385864,2.175328
6/28/1990,19.73039216,3.897058822,-0.177015251,-2.015639589,-1.174957638,0.887799565,2.872015,0.050782,3.225977,3.182597,0.100554,3.691286,2.399654,2.259137,3.349942,3.382378,0.314582,2.677415,2.232784,0.385864,2.177921
6/29/1990,21.57679739,2.013305322,-0.761165577,-1.862356053,-0.449951586,0.882352942,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
6/30/1990,23.58660131,1.443744164,0.820397603,-1.81022409,0.356148633,0.33496732,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/1/1990,21.37096774,2.574671446,1.833930705,0.009856632,-0.840966415,1.463560334,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/2/1990,20.35842294,0.867682197,-0.741114098,-1.516577062,0.913978494,-0.240992266,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/3/1990,23.77240143,0.94832736,-1.482228197,-2.922043012,0.994623656,-0.379645351,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/4/1990,27.01612903,3.219832738,1.101777181,-1.636648746,-0.103212532,0.334030267,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
7/5/1990,23.11827957,4.460872165,4.275686977,0.729390682,-2.231514668,2.708922845,2.874512,0.050782,3.234485,3.184442,0.100554,3.794118,2.399679,2.259137,3.359186,3.480178,0.314582,2.677415,2.23496,0.385864,2.178603
